area,session,object,event,start_bin,stop_bin,center_time_s,obs_auc,null_auc_mean,null_auc_ci95_low,null_auc_ci95_high,p_auc,n_shuffle,cv_n_splits,cv_n_repeats
F6,MonkeyC_Session06,Object2,Event1,19,24,0.2299999999999999,0.7200000000000001,0.46976,0.17650000000000002,0.7438333333333329,0.043912175648702596,500,3,1
F6,MonkeyC_Session06,Object2,Event1,20,25,0.25,0.7066666666666667,0.48131999999999997,0.20666666666666667,0.7501666666666665,0.07784431137724551,500,3,1
F6,MonkeyC_Session06,Object2,Event1,21,26,0.27,0.7866666666666667,0.4763333333333334,0.20983333333333334,0.7568333333333332,0.015968063872255488,500,3,1
F6,MonkeyC_Session06,Object2,Event1,22,27,0.29,0.6933333333333334,0.504,0.24,0.7600000000000001,0.11177644710578842,500,3,1
F6,MonkeyC_Session06,Object2,Event1,23,28,0.31,0.7133333333333334,0.5004933333333333,0.24316666666666667,0.7799999999999999,0.0718562874251497,500,3,1
F6,MonkeyC_Session06,Object2,Event1,24,29,0.33,0.6000000000000001,0.5223333333333333,0.24,0.7666666666666667,0.3373253493013972,500,3,1
F6,MonkeyC_Session06,Object2,Event1,25,30,0.35,0.6133333333333334,0.5154666666666667,0.24,0.7600000000000001,0.281437125748503,500,3,1
F6,MonkeyC_Session06,Object2,Event1,26,31,0.37,0.7266666666666667,0.49739999999999995,0.21333333333333335,0.7666666666666666,0.0499001996007984,500,3,1
F6,MonkeyC_Session06,Object2,Event1,27,32,0.3899999999999999,0.6266666666666666,0.49006666666666665,0.20983333333333332,0.7635,0.20958083832335328,500,3,1
F6,MonkeyC_Session06,Object2,Event1,28,33,0.41,0.5866666666666667,0.5036266666666667,0.22666666666666666,0.7733333333333334,0.3073852295409182,500,3,1
F6,MonkeyC_Session06,Object2,Event1,29,34,0.43,0.6866666666666666,0.5089466666666668,0.22666666666666668,0.7600000000000001,0.12574850299401197,500,3,1
F6,MonkeyC_Session06,Object2,Event1,30,35,0.45,0.6533333333333333,0.49618666666666666,0.22,0.7701666666666666,0.16367265469061876,500,3,1
F6,MonkeyC_Session06,Object2,Event1,31,36,0.47,0.6666666666666666,0.5022933333333334,0.21999999999999997,0.7466666666666667,0.1377245508982036,500,3,1
F6,MonkeyC_Session06,Object2,Event1,32,37,0.49,0.6000000000000001,0.48184,0.24,0.7733333333333334,0.2055888223552894,500,3,1
F6,MonkeyC_Session06,Object2,Event1,33,38,0.51,0.64,0.48603999999999997,0.22633333333333333,0.7533333333333333,0.17764471057884232,500,3,1
F6,MonkeyC_Session06,Object2,Event1,34,39,0.53,0.7666666666666666,0.4743333333333334,0.20000000000000004,0.7771666666666662,0.031936127744510975,500,3,1
F6,MonkeyC_Session06,Object2,Event1,35,40,0.55,0.7200000000000001,0.46369333333333335,0.2133333333333333,0.7333333333333334,0.03992015968063872,500,3,1
F6,MonkeyC_Session06,Object2,Event1,36,41,0.5700000000000001,0.56,0.4896533333333334,0.22633333333333333,0.7333333333333334,0.34530938123752497,500,3,1
F6,MonkeyC_Session06,Object2,Event1,37,42,0.5900000000000001,0.56,0.48741333333333337,0.22,0.7434999999999999,0.34331337325349304,500,3,1
F6,MonkeyC_Session06,Object2,Event1,38,43,0.6100000000000001,0.6533333333333334,0.4923466666666667,0.24,0.7466666666666667,0.12974051896207583,500,3,1
F6,MonkeyC_Session06,Object2,Event1,39,44,0.6300000000000001,0.5866666666666667,0.4402133333333333,0.18316666666666667,0.7200000000000001,0.18962075848303392,500,3,1
F6,MonkeyC_Session06,Object2,Event1,40,45,0.6499999999999999,0.6133333333333334,0.4979466666666667,0.24,0.7568333333333332,0.25149700598802394,500,3,1
F6,MonkeyC_Session06,Object2,Event1,41,46,0.6699999999999999,0.4466666666666666,0.5217866666666666,0.26666666666666666,0.7666666666666667,0.7065868263473054,500,3,1
