area,session,object,event,obs_auc_pre,obs_auc_post,obs_delta_auc,p_pre,p_post,p_delta,n_shuffle,pre_bin_start,pre_bin_stop_exclusive,post_bin_start,post_bin_stop_exclusive,null_pre_mean,null_pre_ci95_low,null_pre_ci95_high,null_post_mean,null_post_ci95_low,null_post_ci95_high,null_delta_mean,null_delta_ci95_low,null_delta_ci95_high
F5,MonkeyB_Session04,Object3,Event1,0.6866666666666668,0.4044444444444445,-0.28222222222222226,0.09381237524950099,0.7245508982035929,0.9221556886227545,500,0,10,10,50,0.49961333333333335,0.2288888888888889,0.7578888888888888,0.4884044444444445,0.23555555555555557,0.731111111111111,-0.011208888888888885,-0.3700555555555556,0.3492222222222218
F5,MonkeyB_Session04,Object3,Event3,0.7,0.8111111111111113,0.11111111111111138,0.04590818363273453,0.005988023952095809,0.26147704590818366,500,0,40,40,70,0.49045777777777777,0.24772222222222223,0.7279444444444443,0.49217333333333335,0.2210555555555556,0.7556666666666667,0.0017155555555555635,-0.32011111111111107,0.334944444444444
F5,MonkeyB_Session06,Object1,Event1,0.54,0.6555555555555556,0.11555555555555552,0.36926147704590817,0.12375249500998003,0.26147704590818366,500,0,10,10,50,0.4936933333333333,0.2531111111111111,0.7567222222222222,0.49975555555555556,0.23883333333333337,0.7646666666666665,0.006062222222222218,-0.32688888888888895,0.34338888888888885
F5,MonkeyB_Session06,Object1,Event3,0.5,0.9955555555555554,0.4955555555555554,0.49101796407185627,0.001996007984031936,0.005988023952095809,500,0,40,40,70,0.49071111111111115,0.21438888888888893,0.7356666666666666,0.49566666666666676,0.22655555555555557,0.7433888888888889,0.004955555555555563,-0.3011666666666666,0.3025555555555553
F5,MonkeyB_Session06,Object2,Event1,0.5977777777777777,0.20222222222222222,-0.39555555555555555,0.25349301397205587,0.9960079840319361,0.9840319361277445,500,0,10,10,50,0.49802222222222226,0.2507777777777778,0.7488888888888888,0.5031066666666667,0.25555555555555554,0.7355555555555555,0.005084444444444448,-0.35905555555555546,0.3602222222222221
F5,MonkeyB_Session06,Object2,Event3,0.548888888888889,0.9311111111111111,0.38222222222222213,0.34930139720558884,0.001996007984031936,0.01996007984031936,500,0,40,40,70,0.4930577777777778,0.25977777777777783,0.749222222222222,0.50152,0.21883333333333335,0.7501666666666665,0.00846222222222223,-0.3696666666666667,0.3614999999999997
F5,MonkeyB_Session06,Object3,Event1,0.3644444444444444,0.38222222222222224,0.017777777777777837,0.8303393213572854,0.810379241516966,0.499001996007984,500,0,10,10,50,0.4902022222222222,0.25380555555555556,0.7495833333333332,0.49555555555555564,0.23088888888888892,0.7288888888888888,0.005353333333333333,-0.319,0.3241944444444442
F5,MonkeyB_Session06,Object3,Event3,0.5444444444444445,0.7955555555555556,0.25111111111111106,0.35728542914171657,0.00998003992015968,0.0718562874251497,500,0,40,40,70,0.4929511111111111,0.24000000000000005,0.7323888888888888,0.4870533333333334,0.22222222222222224,0.7189444444444444,-0.005897777777777783,-0.34127777777777785,0.35049999999999953
F5,MonkeyB_Session07,Object1,Event1,0.6511111111111112,0.44666666666666677,-0.20444444444444443,0.1437125748502994,0.7045908183632734,0.8562874251497006,500,0,10,10,50,0.5083666666666667,0.24586111111111114,0.7400000000000001,0.5079022222222223,0.24000000000000002,0.7313333333333332,-0.00046444444444444376,-0.3603333333333333,0.3567222222222222
F5,MonkeyB_Session07,Object1,Event3,0.6977777777777777,0.9422222222222223,0.24444444444444458,0.07584830339321358,0.001996007984031936,0.08183632734530938,500,0,40,40,70,0.4995155555555556,0.23216666666666672,0.7411666666666665,0.5002177777777778,0.25555555555555554,0.7546111111111109,0.0007022222222222207,-0.3389444444444445,0.3201111111111109
