area,session,event,n_neurons,n_bins,dpca_available,var_t,var_d,var_o,var_dt,var_ot,var_do,var_dot,total_var
F6,MonkeyB_Session04,Event3,12,70,False,0.17078002418078486,0.012803596333638406,0.00940030948584696,0.16715408141804208,0.3047442746880761,0.00541130246072972,0.32970641143288193,140722.38756613756
F6,MonkeyB_Session05,Event1,9,50,False,0.22751141725894652,0.0041048573212348685,0.010548723896984464,0.14725925831183642,0.3047298987894867,0.015226742406013972,0.2906191020154969,72393.34490740742
F6,MonkeyB_Session05,Event3,9,70,False,0.19515465742012159,0.03358261418221727,0.008017045577753956,0.16379717385328124,0.3010529673421336,0.007191627744951488,0.29120391387954075,118186.09457671958
F6,MonkeyB_Session06,Event1,6,50,False,0.14872708990356048,0.002818532230296951,0.011152246446364127,0.14686838216249984,0.2973627679510033,0.013589895942837113,0.3794810853634383,15193.75
F6,MonkeyB_Session06,Event3,6,70,False,0.2999570983566806,0.010203129954673552,0.007653013640590845,0.16755889649512226,0.22961172680446706,0.0012524082211273282,0.2837637265273385,31024.88425925926
F6,MonkeyB_Session09,Event1,4,50,False,0.3489434013406866,0.003695004966884945,0.0040598885690158746,0.13384377322409663,0.23438037551735286,0.018202479123445338,0.2568750772585178,38856.88657407407
F6,MonkeyB_Session09,Event3,4,70,False,0.19133154354986023,0.1074884909542131,0.005707010600315537,0.16258429972415192,0.27211535800282305,0.006275312981465587,0.2544979841871708,44805.30753968254
F6,MonkeyB_Session10,Event1,34,50,False,0.2635795665489354,0.00518847823206321,0.01095277282438913,0.1530044874309338,0.2832348566692447,0.005730033339664497,0.27830980495476915,225135.8931007665
F6,MonkeyB_Session10,Event3,34,70,False,0.26073923462589693,0.021863858510379898,0.007653061262686489,0.14196285872423384,0.27582947305884087,0.010284890399608055,0.28166662341835397,304033.7623842007
F6,MonkeyC_Session01,Event1,4,50,False,0.5018928914850153,0.022676685123942567,0.008240307818366873,0.1300780386575042,0.170982515567607,0.0017274658624869589,0.1644020954850772,82209.375
F6,MonkeyC_Session01,Event3,4,70,False,0.2565875425349919,0.0067294818186696154,0.0030097367229058405,0.16473317286395414,0.29204927882365705,0.011400064137838957,0.2654907230979824,33126.61210317461
F6,MonkeyC_Session02,Event1,8,50,False,0.3411343407296123,0.016657330928706294,0.007132287946536939,0.12985439486609962,0.2254085329724234,0.01540299628621102,0.2644101162704105,89366.03009259258
F6,MonkeyC_Session02,Event3,8,70,False,0.414796431427909,0.03210150922118927,0.01013610565783033,0.10259384101662873,0.22733335253985698,0.005638486580813492,0.2074002735557723,150652.9017857143
F6,MonkeyC_Session05,Event1,3,50,False,0.24713641399645814,0.0002529900810440601,0.008261434715473321,0.12275253208175942,0.37296844603023666,0.0044578597039143745,0.24417032339111397,13267.24537037037
F6,MonkeyC_Session05,Event3,3,70,False,0.17872720256633134,0.0027401745448309,0.002545283040931133,0.17570248642580677,0.3284194688816736,0.0026622179432709723,0.3092031665971554,21209.738756613755
F6,MonkeyC_Session06,Event1,3,50,False,0.7040850988188974,0.00044560729821963604,0.003267786853610734,0.044419499093566586,0.09038888368066761,0.01127167313365417,0.14612145112138422,121681.6296296296
F6,MonkeyC_Session06,Event3,3,70,False,0.5288668465167883,0.005324094779861486,0.010530177011305961,0.09222793409638093,0.16352705681965957,0.003984614771713346,0.19553927600429055,70389.78835978836
F6,MonkeyC_Session08,Event1,9,50,False,0.4153330438586181,0.0035720540150223027,0.005047415478580885,0.11249771099068323,0.20742062835204925,0.0130311601139027,0.2430979871911437,46316.333333333336
F6,MonkeyC_Session08,Event3,9,70,False,0.18030483834180108,0.002151916726442137,0.005050889029191369,0.15230017089722697,0.302002175055616,0.0072094168669282754,0.3509805930827942,32012.804232804236
