area,session,object,auc_within_Event1,auc_within_Event3,auc_Event1_to_Event3,auc_Event3_to_Event1,auc_within_Event1_std,auc_within_Event3_std,auc_Event1_to_Event3_std,auc_Event3_to_Event1_std,p_Event1_to_Event3,p_Event3_to_Event1,n_perm,n_trials_go_shared,n_trials_nogo_shared,truncated_to_shared_min,gti,normalized_transfer,n_folds_run
F5,MonkeyB_Session11,Object2,0.6466666666666667,0.931111111111111,0.9422222222222222,0.6533333333333334,0.1940017636604136,0.10739828459706202,0.09846388837632265,0.2361187807211054,0.004975124378109453,0.03482587064676617,200,15,15,0,0.2977777777777778,1.0307692307692309,50
F5,MonkeyB_Session11,Object3,0.6088888888888889,0.7600000000000001,0.43111111111111117,0.5644444444444445,0.2179174895457843,0.22035496684543845,0.2475783442329554,0.2645036996056279,0.8009950248756219,0.24378109452736318,200,15,15,0,-0.0022222222222221255,-0.012048192771083807,50
F5,MonkeyB_Session12,Object1,0.5377777777777778,0.9044444444444446,0.4600000000000001,0.5533333333333333,0.21573291438770803,0.12297234252854959,0.2952636957666704,0.23702404537337554,0.6616915422885572,0.31343283582089554,200,15,15,0,0.00666666666666671,0.030150753768844397,50
F5,MonkeyB_Session12,Object2,0.5222222222222223,0.7622222222222222,0.7377777777777779,0.6466666666666667,0.22250548839486015,0.18375715458705263,0.2351778943168525,0.2445577968476822,0.009950248756218905,0.04975124378109453,200,15,15,0,0.1922222222222223,1.3515625000000002,50
F5,MonkeyB_Session12,Object3,0.468888888888889,0.8355555555555557,0.44000000000000017,0.48666666666666664,0.2097281351000798,0.15098567556309989,0.22997803525428362,0.2847337672566697,0.7114427860696517,0.472636815920398,200,15,15,0,-0.036666666666666625,-0.2408759124087586,50
F5,MonkeyC_Session02,Object1,0.4222222222222223,0.4922222222222222,0.3522222222222222,0.31000000000000005,0.23301457549052698,0.25864006611398344,0.21431804576784605,0.18239815079090732,0.9303482587064676,0.9552238805970149,200,14,15,0,-0.16888888888888887,-760607937067017.0,50
F5,MonkeyC_Session02,Object2,0.45555555555555555,0.6222222222222222,0.42444444444444457,0.40666666666666673,0.19080659174875092,0.23220220378298087,0.24352538005961957,0.2089096337458053,0.7960199004975125,0.8706467661691543,200,15,15,0,-0.08444444444444432,-2.17142857142857,50
F5,MonkeyC_Session02,Object3,0.5711111111111111,0.52,0.28222222222222226,0.28222222222222226,0.23651326296335093,0.26124496014528237,0.23242995406679634,0.2258323536445407,0.9950248756218906,0.9950248756218906,200,15,15,0,-0.21777777777777774,-4.780487804878046,50
F5,MonkeyC_Session06,Object1,0.5133333333333333,0.6733333333333335,0.525,0.5,0.20781227356218376,0.22005462113116175,0.20429764644917278,0.24164027535933857,0.3880597014925373,0.46766169154228854,200,20,15,0,0.012499999999999956,0.1339285714285709,50
F5,MonkeyC_Session06,Object2,0.6183333333333334,0.685,0.6283333333333334,0.4833333333333333,0.2393360525114134,0.18617921047393668,0.21109395442876114,0.25643641938735734,0.11940298507462686,0.527363184079602,200,20,15,0,0.0558333333333334,0.36813186813186843,50
F5,MonkeyC_Session06,Object3,0.37833333333333335,0.5816666666666667,0.5616666666666666,0.5166666666666668,0.21176426589108474,0.2236638330264454,0.24617827178002252,0.20619652471058064,0.263681592039801,0.40298507462686567,200,20,15,0,0.039166666666666794,176390985405345.0,50
F5,MonkeyC_Session08,Object1,0.39833333333333326,0.8566666666666667,0.775,0.585,0.21970011513326332,0.1487285493975373,0.20150370095012807,0.18092888318611558,0.004975124378109453,0.18407960199004975,200,20,15,0,0.17999999999999994,1.411764705882353,50
F5,MonkeyC_Session08,Object2,0.5516666666666667,0.6716666666666667,0.5933333333333334,0.5916666666666667,0.16657310298921546,0.19878457214393924,0.1924304509635881,0.1993825502910027,0.12437810945273632,0.14427860696517414,200,20,15,0,0.09250000000000003,0.8283582089552232,50
F5,MonkeyC_Session08,Object3,0.2566666666666667,0.8716666666666668,0.525,0.46333333333333326,0.1715607955681126,0.13699272536423635,0.2705551946991312,0.22345463250762035,0.4129353233830846,0.6865671641791045,200,20,15,0,-0.005833333333333357,-0.09090909090909122,50
F5,MonkeyC_Session09,Object1,0.44222222222222224,0.6288888888888889,0.23333333333333336,0.4311111111111112,0.2111648099744116,0.2382116117716918,0.22587697572631282,0.25061275372686415,1.0,0.7661691542288557,200,15,15,0,-0.1677777777777777,-4.7187499999999964,50
F5,MonkeyC_Session09,Object2,0.68,0.731111111111111,0.5666666666666667,0.528888888888889,0.20773648443152873,0.1768826671953604,0.2225054883948601,0.2284391151429336,0.26865671641791045,0.373134328358209,200,15,15,0,0.04777777777777781,0.23243243243243264,50
F5,MonkeyC_Session09,Object3,0.6022222222222223,0.5622222222222223,0.68,0.6511111111111112,0.23229983838908685,0.23047050585494672,0.22519552826626285,0.22672312666616287,0.03482587064676617,0.09950248756218906,200,15,15,0,0.16555555555555568,2.0135135135135127,50
F5,MonkeyC_Session10,Object1,0.2933333333333334,0.5688888888888889,0.45333333333333337,0.5866666666666667,0.1706035408577067,0.21837947329422017,0.24471228369018116,0.23224560200853184,0.681592039800995,0.19402985074626866,200,15,15,0,0.020000000000000018,90071992547410.0,50
F5,MonkeyC_Session10,Object2,0.41333333333333333,0.5111111111111112,0.5022222222222221,0.4733333333333334,0.2233982487080531,0.21994295969128605,0.22474755581495698,0.2287146817406766,0.4975124378109453,0.6169154228855721,200,15,15,0,-0.012222222222222245,-55043995445639.5,50
F5,MonkeyC_Session10,Object3,0.7622222222222222,0.34,0.43333333333333335,0.5777777777777778,0.19311661948832926,0.20866828704583862,0.19729845864533416,0.22559794291352214,0.7263681592039801,0.21890547263681592,200,15,15,0,0.005555555555555536,0.10869565217391267,50
F5,MonkeyC_Session11,Object1,0.6111111111111112,0.5022222222222222,0.49555555555555564,0.3488888888888889,0.19472768486325873,0.24409374967290268,0.25417650192239183,0.23437302111367495,0.4975124378109453,0.9552238805970149,200,15,15,0,-0.07777777777777772,-1.3725490196078427,50
F5,MonkeyC_Session11,Object2,0.7777777777777779,0.6844444444444445,0.5377777777777779,0.5955555555555556,0.18914881409226958,0.1909517871977469,0.26783568403167557,0.24871552108953515,0.32338308457711445,0.14925373134328357,200,15,15,0,0.06666666666666676,0.28846153846153866,50
F5,MonkeyC_Session11,Object3,0.568888888888889,0.49111111111111105,0.58,0.5333333333333334,0.1899994032691429,0.23766097964252783,0.2281411293596965,0.253968253968254,0.23383084577114427,0.3681592039800995,200,15,15,0,0.05666666666666664,1.8888888888888864,50
F5,MonkeyC_Session12,Object1,0.5800000000000001,0.3577777777777778,0.38888888888888884,0.32666666666666666,0.21092604371762003,0.2121171873851277,0.2648939566393434,0.21811395220188168,0.8955223880597015,0.9552238805970149,200,15,15,0,-0.14222222222222225,-640511947003804.0,50
F5,MonkeyC_Session12,Object2,0.5755555555555556,0.7,0.3444444444444445,0.46,0.21377363859070983,0.19080659174875092,0.2010930072907925,0.2386343103771778,0.9402985074626866,0.6417910447761194,200,15,15,0,-0.09777777777777774,-0.7096774193548384,50
F5,MonkeyC_Session12,Object3,0.6000000000000001,0.37333333333333335,0.38888888888888895,0.42888888888888893,0.1891488140922696,0.21029200205306917,0.22137024890446594,0.24073667070226606,0.8805970149253731,0.7512437810945274,200,15,15,0,-0.09111111111111103,-410327966049311.5,50
F6,MonkeyB_Session01,Object1,0.7583333333333333,0.7066666666666666,0.76,0.6,0.22287672889106017,0.2521112665133152,0.23062077322540545,0.29738085706659034,0.01990049751243781,0.10945273631840796,200,12,12,0,0.17999999999999994,0.7741935483870968,50
F6,MonkeyB_Session01,Object2,0.575,0.8833333333333333,0.69,0.71,0.2788104387769136,0.19047619047619047,0.25479528041279514,0.2475732558391611,0.009950248756218905,0.03482587064676617,200,12,12,0,0.19999999999999996,0.8727272727272727,50
F6,MonkeyB_Session01,Object3,0.5983333333333334,0.9500000000000002,0.42666666666666664,0.615,0.2962779307422305,0.09671474291233288,0.30844133059914114,0.2896015324873949,0.7860696517412935,0.1044776119402985,200,12,12,0,0.02083333333333326,0.07598784194528846,50
