area,session,event,train_object,test_object,acc,auc,evaluation,is_cross_object
F5,MonkeyB_Session01,Event3,Object1,Object3,0.8333333333333334,0.8933333333333334,cross_object_holdout,True
F5,MonkeyB_Session01,Event3,Object2,Object1,0.8333333333333334,0.928888888888889,cross_object_holdout,True
F5,MonkeyB_Session01,Event3,Object2,Object2,0.8,0.8755555555555555,within_object_cv,False
F5,MonkeyB_Session01,Event3,Object2,Object3,0.9,0.92,cross_object_holdout,True
F5,MonkeyB_Session01,Event3,Object3,Object1,0.7333333333333333,0.8355555555555556,cross_object_holdout,True
F5,MonkeyB_Session01,Event3,Object3,Object2,0.7,0.8044444444444444,cross_object_holdout,True
F5,MonkeyB_Session01,Event3,Object3,Object3,0.92,0.9488888888888889,within_object_cv,False
F5,MonkeyB_Session02,Event1,Object1,Object1,0.57,0.5755555555555556,within_object_cv,False
F5,MonkeyB_Session02,Event1,Object1,Object2,0.5666666666666667,0.5244444444444444,cross_object_holdout,True
F5,MonkeyB_Session02,Event1,Object1,Object3,0.6,0.5977777777777777,cross_object_holdout,True
F5,MonkeyB_Session02,Event1,Object2,Object1,0.4666666666666667,0.42666666666666664,cross_object_holdout,True
F5,MonkeyB_Session02,Event1,Object2,Object2,0.4966666666666667,0.5222222222222223,within_object_cv,False
F5,MonkeyB_Session02,Event1,Object2,Object3,0.4,0.45555555555555555,cross_object_holdout,True
F5,MonkeyB_Session02,Event1,Object3,Object1,0.6666666666666666,0.7066666666666667,cross_object_holdout,True
F5,MonkeyB_Session02,Event1,Object3,Object2,0.5,0.45333333333333337,cross_object_holdout,True
F5,MonkeyB_Session02,Event1,Object3,Object3,0.3999999999999999,0.2677777777777778,within_object_cv,False
F5,MonkeyB_Session02,Event3,Object1,Object1,0.6633333333333334,0.8222222222222223,within_object_cv,False
F5,MonkeyB_Session02,Event3,Object1,Object2,0.6666666666666666,0.7555555555555555,cross_object_holdout,True
F5,MonkeyB_Session02,Event3,Object1,Object3,0.9666666666666667,0.9911111111111112,cross_object_holdout,True
F5,MonkeyB_Session02,Event3,Object2,Object1,0.7333333333333333,0.8622222222222222,cross_object_holdout,True
F5,MonkeyB_Session02,Event3,Object2,Object2,0.6666666666666667,0.8066666666666665,within_object_cv,False
F5,MonkeyB_Session02,Event3,Object2,Object3,0.9333333333333333,0.9911111111111112,cross_object_holdout,True
F5,MonkeyB_Session02,Event3,Object3,Object1,0.7333333333333333,0.8400000000000001,cross_object_holdout,True
F5,MonkeyB_Session02,Event3,Object3,Object2,0.7333333333333333,0.8355555555555556,cross_object_holdout,True
F5,MonkeyB_Session02,Event3,Object3,Object3,0.9,0.9777777777777777,within_object_cv,False
F5,MonkeyB_Session03,Event1,Object1,Object1,0.5333333333333333,0.6066666666666667,within_object_cv,False
F5,MonkeyB_Session03,Event1,Object1,Object2,0.5666666666666667,0.5777777777777777,cross_object_holdout,True
F5,MonkeyB_Session03,Event1,Object1,Object3,0.6,0.5733333333333334,cross_object_holdout,True
F5,MonkeyB_Session03,Event1,Object2,Object1,0.5666666666666667,0.6177777777777778,cross_object_holdout,True
F5,MonkeyB_Session03,Event1,Object2,Object2,0.57,0.6088888888888888,within_object_cv,False
F5,MonkeyB_Session03,Event1,Object2,Object3,0.5,0.4755555555555555,cross_object_holdout,True
F5,MonkeyB_Session03,Event1,Object3,Object1,0.6333333333333333,0.6844444444444444,cross_object_holdout,True
