area,session,object,event,interval_start,interval_stop,n_neurons,n_bins,n_trials_exe_go,n_trials_obs_go,n_trials_obs_nogo,n_pcs_raw,n_pcs_centered,dist_exe_obs_mean,dist_go_nogo_mean,dist_exe_nogo_mean,dist_go_nogo_centered_mean,vel_cos_exe_obs_mean,vel_cos_go_nogo_mean,angle_exe_obs_min,angle_go_nogo_min,angle_exe_nogo_min,dec_obs_go_nogo_acc_full,dec_obs_go_nogo_auc_full,dec_obs_go_nogo_acc_pre,dec_obs_go_nogo_auc_pre,dec_obs_go_nogo_acc_post,dec_obs_go_nogo_auc_post,dec_exe_obs_acc_full,dec_exe_obs_auc_full,perm_obs_go_nogo_auc,perm_obs_go_nogo_auc_p,perm_obs_go_nogo_acc,perm_obs_go_nogo_acc_p,boot_obs_go_nogo_auc_mean,boot_obs_go_nogo_auc_ci95_low,boot_obs_go_nogo_auc_ci95_high,boot_obs_go_nogo_acc_mean,boot_obs_go_nogo_acc_ci95_low,boot_obs_go_nogo_acc_ci95_high
F6,MonkeyB_Session03,Object3,Event3,-0.8,0.6,8,70,12,12,12,8,8,1.576475244873013,0.9373612707810894,1.518822442476477,0.952832419960368,0.0114692896507225,0.0544922312305188,0.0,0.0,0.0,0.6419999999999999,0.7000000000000002,0.539,0.4933333333333333,0.7069999999999999,0.7950000000000002,1.0,1.0,0.7000000000000002,0.0996677740863787,0.6419999999999999,0.1029900332225913,0.8455722222222223,0.6649166666666666,0.9984166666666664,0.7997466666666666,0.630425,0.9465249999999998
F6,MonkeyB_Session04,Object1,Event1,-0.2,0.8,12,50,12,12,12,8,8,1.2110543905616082,1.0985876684493134,1.1572711365562451,1.1158096811738198,-0.0191908301959849,0.0894685570211229,0.2210423464742721,0.0990770216090375,0.1625261117071533,0.6409999999999999,0.6666666666666665,0.6190000000000001,0.6899999999999998,0.7199999999999999,0.7516666666666667,0.8799999999999999,0.975,0.6666666666666665,0.1794019933554817,0.6409999999999999,0.1362126245847176,0.8186388888888888,0.567125,0.9984166666666666,0.7773566666666667,0.56895,0.9560499999999998
F6,MonkeyB_Session04,Object1,Event3,-0.8,0.6,12,70,12,12,12,8,8,1.5135558646170817,1.163073048302396,1.6319157955225592,1.1772814223934334,0.065052968617921,-0.0464176509936065,0.1226877711549847,0.3467698837735297,0.3953097632053082,0.637,0.665,0.61,0.695,0.727,0.8383333333333334,1.0,1.0,0.665,0.1661129568106312,0.637,0.1029900332225913,0.8655833333333331,0.7041250000000001,0.9933333333333334,0.8049866666666667,0.6466000000000001,0.9441499999999996
F6,MonkeyB_Session04,Object2,Event1,-0.2,0.8,12,50,12,12,12,8,8,1.140947060770277,1.0498607353499636,1.204140833063902,1.0756948319540751,-0.0553217905845987,0.052772699545129,0.2934102682711975,0.3447384711052447,0.3801688874205486,0.457,0.4366666666666667,0.477,0.5183333333333333,0.4159999999999999,0.3866666666666667,0.8639999999999998,0.9,0.4366666666666667,0.6578073089700996,0.457,0.6013289036544851,0.7204333333333334,0.4965833333333333,0.937625,0.6909666666666666,0.48685,0.8760499999999999
F6,MonkeyB_Session04,Object2,Event3,-0.8,0.6,12,70,12,12,12,8,8,1.669141242477923,1.0739230846510162,1.6416532937633053,1.0784021773234722,0.0367908805442222,-0.1039033332718748,0.2634305262796909,0.2198605160073074,0.4761718624212143,0.5479999999999999,0.6033333333333334,0.507,0.4833333333333333,0.596,0.7416666666666666,1.0,1.0,0.6033333333333334,0.2259136212624584,0.5479999999999999,0.2757475083056478,0.8158666666666667,0.5915833333333332,0.98,0.7659299999999999,0.5533250000000001,0.9271
F6,MonkeyB_Session04,Object3,Event1,-0.2,0.8,12,50,12,12,12,8,8,1.205950892497065,1.1129077738046074,1.265917512041837,1.1258756057969168,0.0801586559143942,-0.0018880464817543,0.088420408312918,0.2591805266429351,0.1742149840880704,0.5529999999999999,0.5233333333333333,0.353,0.28,0.633,0.6633333333333334,0.861,0.9333333333333336,0.5233333333333333,0.4584717607973422,0.5529999999999999,0.3122923588039867,0.7482500000000001,0.4963333333333333,0.96,0.7170333333333334,0.5257999999999999,0.9031
F6,MonkeyB_Session04,Object3,Event3,-0.8,0.6,12,70,12,12,12,8,8,1.601602983036487,1.056579317786607,1.630378036503569,1.0821998422551384,0.0136660681330292,-0.0396298835854675,0.2503270363830629,0.3416989183890117,0.2904327455762791,0.688,0.7216666666666667,0.415,0.4066666666666667,0.758,0.8233333333333333,1.0,1.0,0.7216666666666667,0.0764119601328903,0.688,0.0265780730897009,0.8731555555555556,0.6724583333333334,1.0,0.8127,0.6307,0.95
F6,MonkeyB_Session05,Object1,Event1,-0.2,0.8,9,50,12,12,12,8,8,1.2074389485729975,1.0771642036333389,1.2006608993003274,1.0972899633617652,-0.0247700193514705,0.146475951549965,0.0,0.0,0.0,0.612,0.6933333333333332,0.626,0.725,0.645,0.725,0.976,1.0,0.6933333333333332,0.0664451827242525,0.612,0.0996677740863787,0.8134444444444445,0.5835416666666667,0.9766666666666668,0.7506033333333333,0.5718,0.9171
F6,MonkeyB_Session05,Object1,Event3,-0.8,0.6,9,70,12,12,12,8,8,1.4994013195749336,1.2492853132256272,1.2698064621395515,1.268833064903916,-0.0501844246310907,-0.0201568525206807,1.4901161193847656e-08,1.4901161193847656e-08,0.0,0.7360000000000001,0.8333333333333333,0.714,0.8316666666666666,0.597,0.7116666666666667,1.0,1.0,0.8333333333333333,0.0066445182724252,0.7360000000000001,0.0099667774086378,0.9013388888888888,0.75825,1.0,0.8294633333333333,0.6589499999999999,0.954
F6,MonkeyB_Session05,Object2,Event1,-0.2,0.8,9,50,12,12,12,8,8,1.207892062143699,1.0179945714871954,1.2130817896862691,1.037761057006782,-0.0777192201056574,0.1005935057302416,0.0,2.5809568279517854e-08,0.0,0.514,0.5566666666666668,0.6759999999999999,0.7,0.4930000000000001,0.5116666666666666,0.8739999999999999,0.9833333333333332,0.5566666666666668,0.3521594684385382,0.514,0.4318936877076412,0.7477277777777778,0.4722083333333334,0.9618333333333332,0.7118166666666668,0.50095,0.906575
