area,session,object,event,interval_start,interval_stop,n_neurons,n_bins,n_trials_exe_go,n_trials_obs_go,n_trials_obs_nogo,n_pcs_raw,n_pcs_centered,dist_exe_obs_mean,dist_go_nogo_mean,dist_exe_nogo_mean,dist_go_nogo_centered_mean,vel_cos_exe_obs_mean,vel_cos_go_nogo_mean,angle_exe_obs_min,angle_go_nogo_min,angle_exe_nogo_min,dec_obs_go_nogo_acc_full,dec_obs_go_nogo_auc_full,dec_obs_go_nogo_acc_pre,dec_obs_go_nogo_auc_pre,dec_obs_go_nogo_acc_post,dec_obs_go_nogo_auc_post,dec_exe_obs_acc_full,dec_exe_obs_auc_full,perm_obs_go_nogo_auc,perm_obs_go_nogo_auc_p,perm_obs_go_nogo_acc,perm_obs_go_nogo_acc_p,boot_obs_go_nogo_auc_mean,boot_obs_go_nogo_auc_ci95_low,boot_obs_go_nogo_auc_ci95_high,boot_obs_go_nogo_acc_mean,boot_obs_go_nogo_acc_ci95_low,boot_obs_go_nogo_acc_ci95_high
F5,MonkeyB_Session03,Object2,Event1,-0.2,0.8,4,50,15,15,15,4,4,0.7584412033468368,0.7203571257788556,0.8367438102286406,0.7284152153780121,-0.014112764587192935,0.07187366356477234,4.8259303650532925e-17,5.671749315293493e-17,8.795746250526719e-17,0.57,0.6088888888888888,0.6833333333333335,0.7711111111111112,0.5433333333333333,0.5866666666666667,0.7633333333333334,0.8822222222222222,0.6088888888888888,0.2292358803986711,0.57,0.24584717607973422,0.6821703703703703,0.4831666666666667,0.8544999999999999,0.6262444444444445,0.4733333333333333,0.7952499999999999
F5,MonkeyB_Session03,Object2,Event3,-0.8,0.6,4,70,15,15,15,4,4,1.22568252461033,0.7194876169404073,1.2046726685298863,0.7324285217557472,-0.08091377490506008,0.11051659803490303,2.8363198408605916e-18,4.845434883160984e-19,9.490328907757048e-17,0.5833333333333333,0.6177777777777778,0.53,0.5533333333333335,0.61,0.6622222222222222,0.9433333333333335,0.98,0.6177777777777778,0.17275747508305647,0.5833333333333333,0.1893687707641196,0.6797777777777778,0.4174444444444445,0.8768333333333332,0.6384666666666666,0.42475,0.8152499999999998
F5,MonkeyB_Session03,Object3,Event1,-0.2,0.8,4,50,15,15,15,4,4,0.8314706668220784,0.7278157877450382,0.8343689721464768,0.7344260074409068,0.03982484956561558,-0.23554695081876215,7.030189910923949e-17,1.7882703372812146e-17,1.2459285354145575e-17,0.3566666666666666,0.27555555555555555,0.55,0.5422222222222222,0.3899999999999999,0.3622222222222222,0.8200000000000002,0.8177777777777777,0.27555555555555555,0.946843853820598,0.3566666666666666,0.920265780730897,0.5412740740740741,0.3010555555555556,0.7817222222222217,0.5393111111111111,0.34491666666666665,0.7250833333333332
F5,MonkeyB_Session03,Object3,Event3,-0.8,0.6,4,70,15,15,15,4,4,1.277339805706163,0.6665961862791063,1.2890112431880763,0.6756954627889369,-0.016836757246484542,0.18935091953305253,2.219849430305741e-17,9.896555706783988e-18,9.425340715281022e-18,0.4033333333333334,0.3977777777777778,0.45333333333333337,0.41333333333333333,0.49666666666666665,0.42888888888888893,0.9633333333333334,1.0,0.3977777777777778,0.760797342192691,0.4033333333333334,0.8106312292358804,0.5726962962962964,0.2598888888888889,0.8186666666666659,0.5524333333333334,0.33824999999999994,0.7434999999999998
F5,MonkeyB_Session04,Object1,Event1,-0.2,0.8,9,50,15,15,15,8,8,1.4204741906324214,0.9253374259413617,1.4716647443802315,0.9361051231844493,-0.12185212381398848,0.0043443596588768766,3.6500241499888574e-08,0.0,1.4901161193847656e-08,0.4966666666666667,0.5044444444444445,0.4333333333333333,0.3533333333333333,0.4933333333333333,0.5266666666666667,0.9333333333333335,0.9977777777777778,0.5044444444444445,0.5016611295681063,0.4966666666666667,0.5116279069767442,0.7051111111111112,0.44761111111111107,0.9411666666666666,0.6645666666666666,0.47,0.8684166666666666
F5,MonkeyB_Session04,Object1,Event3,-0.8,0.6,9,70,15,15,15,8,8,1.4058834325237246,0.9596925039481932,1.414787975446649,0.9609929636571735,0.02035722376738138,-0.0071707800588306225,0.0,0.0,0.0,0.67,0.6955555555555556,0.6399999999999999,0.6377777777777778,0.7566666666666666,0.9044444444444444,0.9633333333333334,0.9688888888888889,0.6955555555555556,0.05647840531561462,0.67,0.019933554817275746,0.8329111111111112,0.6386111111111111,0.9756666666666667,0.7733111111111112,0.6149166666666667,0.9133333333333334
F5,MonkeyB_Session04,Object2,Event1,-0.2,0.8,9,50,15,15,15,8,8,1.472995661842826,1.0193336182865067,1.4103120801632392,1.0310057498442833,-0.010102728272346082,-0.07772852392767875,0.0,2.580956827951785e-08,1.4901161193847656e-08,0.5866666666666667,0.6311111111111111,0.48333333333333334,0.4755555555555556,0.43999999999999995,0.4711111111111112,0.9733333333333334,1.0,0.6311111111111111,0.16279069767441862,0.5866666666666667,0.18272425249169436,0.7563481481481481,0.5376666666666667,0.9289999999999999,0.7117222222222223,0.5333333333333333,0.8584166666666666
F5,MonkeyB_Session04,Object2,Event3,-0.8,0.6,9,70,15,15,15,8,8,1.4325697202798453,0.9400418258859373,1.426646644994327,0.9534620831288318,0.029075832860033807,-0.026004307550084024,1.4901161193847656e-08,0.0,2.1073424255447017e-08,0.6133333333333333,0.5866666666666667,0.5099999999999999,0.5133333333333333,0.68,0.8066666666666665,0.9966666666666666,1.0,0.5866666666666667,0.3089700996677741,0.6133333333333333,0.11960132890365449,0.7708444444444444,0.5311111111111111,0.9623333333333332,0.7313,0.5398333333333334,0.8984166666666668
F5,MonkeyB_Session04,Object3,Event1,-0.2,0.8,9,50,15,15,15,8,8,1.3324423560711358,0.9665934231947365,1.3592627079113122,0.9759349207683323,0.006676472957234284,0.05336801192171089,0.0,0.0,2.1073424255447017e-08,0.44333333333333336,0.44,0.6599999999999998,0.6866666666666668,0.41,0.4044444444444445,0.9733333333333334,1.0,0.44,0.6445182724252492,0.44333333333333336,0.6976744186046512,0.6899481481481482,0.4321666666666667,0.8889999999999999,0.6576444444444444,0.4665,0.8368333333333332
F5,MonkeyB_Session04,Object3,Event3,-0.8,0.6,9,70,15,15,15,8,8,1.4458863651500216,0.9347824037870938,1.483001976143926,0.9460141580223032,0.020048252259011898,0.08486304559788985,0.0,2.1073424255447017e-08,0.0,0.6366666666666667,0.6422222222222222,0.6466666666666666,0.7,0.7733333333333333,0.8111111111111113,1.0,1.0,0.6422222222222222,0.11627906976744186,0.6366666666666667,0.06312292358803986,0.8404074074074074,0.6832777777777778,0.98,0.7903777777777778,0.6282499999999999,0.93175
