area,session,object,event,start_bin,stop_bin,center_time_s,acc,auc,n_pcs_used,p_auc,null_auc_mean,null_auc_ci95_high,q_auc
F6,MonkeyB_Session01,Object1,Event3,14,19,-0.47,0.569,0.5783333333333333,8,0.0199600798403193,0.488875,0.7916666666666666,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,15,20,-0.45,0.545,0.66,8,0.0199600798403193,0.5017083333333334,0.7708333333333334,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,16,21,-0.43,0.531,0.6116666666666667,8,0.2654690618762475,0.505875,0.8125,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,17,22,-0.41,0.517,0.5950000000000001,8,0.3353293413173652,0.52975,0.8333333333333334,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,18,23,-0.39,0.5059999999999999,0.55,8,0.8283433133732535,0.5285,0.8125,0.8677882330576941
F6,MonkeyB_Session01,Object1,Event3,19,24,-0.37,0.429,0.3966666666666666,8,0.8203592814371258,0.5320416666666666,0.8234374999999996,0.8677882330576941
F6,MonkeyB_Session01,Object1,Event3,20,25,-0.35,0.391,0.4183333333333333,8,0.4351297405189621,0.5338333333333333,0.8234374999999996,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,21,26,-0.33,0.521,0.52,8,0.6506986027944112,0.5115416666666667,0.8125,0.7786569717707443
F6,MonkeyB_Session01,Object1,Event3,22,27,-0.31,0.5409999999999999,0.5766666666666667,8,0.1177644710578842,0.5175416666666668,0.8026041666666662,0.40907658367475563
F6,MonkeyB_Session01,Object1,Event3,23,28,-0.29,0.533,0.5533333333333333,8,0.1397205588822355,0.5095416666666667,0.8125,0.4610778443113771
F6,MonkeyB_Session01,Object1,Event3,24,29,-0.27,0.429,0.3983333333333332,8,0.7345309381237525,0.5043333333333333,0.7916666666666666,0.8505095073011871
F6,MonkeyB_Session01,Object1,Event3,25,30,-0.25,0.596,0.71,8,0.1077844311377245,0.488125,0.7916666666666666,0.40907658367475563
F6,MonkeyB_Session01,Object1,Event3,26,31,-0.2299999999999999,0.431,0.405,8,0.592814371257485,0.4877916666666667,0.7708333333333334,0.7524182404421926
F6,MonkeyB_Session01,Object1,Event3,27,32,-0.21,0.4509999999999999,0.4883333333333333,8,0.7624750499001997,0.516625,0.7916666666666666,0.8529381914137827
F6,MonkeyB_Session01,Object1,Event3,28,33,-0.19,0.588,0.5933333333333334,8,0.6606786427145709,0.5373333333333332,0.8125,0.7786569717707443
F6,MonkeyB_Session01,Object1,Event3,29,34,-0.17,0.5940000000000001,0.6233333333333333,8,0.4471057884231537,0.5072916666666667,0.8026041666666662,0.6414996094766987
F6,MonkeyB_Session01,Object1,Event3,30,35,-0.15,0.524,0.5083333333333333,8,0.3772455089820359,0.5036666666666667,0.8026041666666662,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,31,36,-0.13,0.642,0.7383333333333333,8,0.029940119760479,0.5212083333333333,0.8333333333333334,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,32,37,-0.1099999999999999,0.513,0.6283333333333334,8,0.2954091816367265,0.4908333333333333,0.7916666666666666,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,33,38,-0.09,0.6140000000000001,0.67,8,0.0778443113772455,0.5284583333333333,0.8333333333333334,0.36698032506415734
F6,MonkeyB_Session01,Object1,Event3,34,39,-0.07,0.418,0.3966666666666666,8,0.3413173652694611,0.5274583333333333,0.8125,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,35,40,-0.05,0.537,0.62,8,0.3393213572854291,0.5050833333333333,0.7817708333333329,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,36,41,-0.03,0.44,0.435,8,0.4211576846307385,0.528625,0.8333333333333334,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,37,42,-0.01,0.493,0.5383333333333333,8,0.06187624750499,0.5142083333333334,0.7708333333333334,0.34031936127744494
F6,MonkeyB_Session01,Object1,Event3,38,43,0.01,0.504,0.5833333333333333,8,0.3592814371257485,0.5294166666666666,0.8541666666666666,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,39,44,0.03,0.434,0.4549999999999999,8,0.782435129740519,0.5260416666666666,0.7916666666666666,0.860678642714571
F6,MonkeyB_Session01,Object1,Event3,40,45,0.0499999999999999,0.493,0.5266666666666666,8,0.3752495009980039,0.5157916666666668,0.7916666666666666,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,41,46,0.0699999999999999,0.354,0.325,8,0.5169660678642715,0.4969583333333334,0.7817708333333329,0.7108283433133732
F6,MonkeyB_Session01,Object1,Event3,42,47,0.0899999999999999,0.51,0.5116666666666666,8,0.2295409181636726,0.4800833333333333,0.7708333333333334,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,43,48,0.1099999999999999,0.595,0.6200000000000001,8,0.1796407185628742,0.505875,0.7916666666666666,0.5389221556886226
F6,MonkeyB_Session01,Object1,Event3,44,49,0.13,0.5579999999999999,0.6366666666666668,8,0.5069860279441117,0.4871666666666666,0.7817708333333329,0.7108283433133732
F6,MonkeyB_Session01,Object1,Event3,45,50,0.15,0.5359999999999999,0.5466666666666667,8,0.7544910179640718,0.4717083333333333,0.7609374999999996,0.8529381914137827
F6,MonkeyB_Session01,Object1,Event3,46,51,0.1699999999999999,0.469,0.5100000000000001,8,0.5469061876247505,0.5009166666666667,0.7708333333333334,0.7245508982035928
F6,MonkeyB_Session01,Object1,Event3,47,52,0.1899999999999999,0.51,0.5733333333333333,8,0.3473053892215569,0.5084166666666667,0.7916666666666666,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,48,53,0.2099999999999999,0.5469999999999999,0.6266666666666666,8,0.2514970059880239,0.5059583333333333,0.7609374999999996,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,49,54,0.2299999999999999,0.444,0.4516666666666666,8,0.3193612774451098,0.5129583333333334,0.7916666666666666,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,50,55,0.25,0.535,0.5733333333333333,8,0.3852295409181637,0.5095,0.8442708333333329,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,51,56,0.27,0.581,0.6050000000000001,8,0.3053892215568862,0.4985,0.7817708333333329,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,52,57,0.29,0.642,0.6866666666666668,8,0.1137724550898203,0.4797916666666666,0.7817708333333329,0.40907658367475563
F6,MonkeyB_Session01,Object1,Event3,53,58,0.31,0.623,0.6583333333333333,8,0.4151696606786427,0.4964583333333333,0.8125,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,54,59,0.33,0.6729999999999999,0.72,8,0.0958083832335329,0.4529166666666667,0.75,0.3952095808383232
F6,MonkeyB_Session01,Object1,Event3,55,60,0.3500000000000001,0.701,0.7233333333333333,8,0.0239520958083832,0.47175,0.7708333333333334,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,56,61,0.3699999999999999,0.7269999999999999,0.805,8,0.0259481037924151,0.4986666666666666,0.7916666666666666,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,57,62,0.3899999999999999,0.7269999999999999,0.825,8,0.0538922155688622,0.4910833333333333,0.7916666666666666,0.3233532934131732
F6,MonkeyB_Session01,Object1,Event3,58,63,0.4099999999999999,0.792,0.9283333333333332,8,0.0259481037924151,0.474,0.7708333333333334,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,59,64,0.4299999999999999,0.787,0.9033333333333334,8,0.0219560878243512,0.5168333333333333,0.7916666666666666,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,60,65,0.4499999999999999,0.754,0.8533333333333333,8,0.0858283433133732,0.5088333333333334,0.7817708333333329,0.3776447105788421
F6,MonkeyB_Session01,Object1,Event3,61,66,0.47,0.69,0.8083333333333332,8,0.0339321357285429,0.4705833333333333,0.7817708333333329,0.22395209580838316
F6,MonkeyB_Session01,Object1,Event3,62,67,0.49,0.695,0.7599999999999999,8,0.0219560878243512,0.4820416666666667,0.7708333333333334,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,63,68,0.51,0.758,0.8716666666666666,8,0.0279441117764471,0.4881666666666666,0.7817708333333329,0.21956087824351267
F6,MonkeyB_Session01,Object1,Event3,64,69,0.53,0.713,0.7700000000000001,8,0.437125748502994,0.4978333333333333,0.7916666666666666,0.641117764471058
F6,MonkeyB_Session01,Object1,Event3,65,70,0.55,0.6579999999999999,0.675,8,0.0698602794411177,0.481375,0.7708333333333334,0.3546752648549052
F6,MonkeyB_Session01,Object2,Event1,0,5,-0.15,0.364,0.3166666666666666,8,0.8163672654690619,0.4710833333333333,0.7708333333333334,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,1,6,-0.13,0.488,0.4133333333333333,8,0.7744510978043913,0.4986666666666666,0.7916666666666666,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,2,7,-0.11,0.502,0.4433333333333333,8,0.7784431137724551,0.522125,0.8125,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,3,8,-0.09,0.446,0.5066666666666666,8,0.8243512974051896,0.4947083333333333,0.7708333333333334,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,4,9,-0.07,0.66,0.755,8,0.0518962075848303,0.5,0.8234374999999996,0.5968063872255485
F6,MonkeyB_Session01,Object2,Event1,5,10,-0.05,0.602,0.675,8,0.6686626746506986,0.4949166666666666,0.7916666666666666,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,6,11,-0.03,0.556,0.5933333333333334,8,0.5149700598802395,0.4804166666666666,0.8125,0.9475449101796406
F6,MonkeyB_Session01,Object2,Event1,7,12,-0.01,0.504,0.5516666666666666,8,0.7445109780439122,0.4872916666666666,0.7708333333333334,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,8,13,0.0099999999999999,0.559,0.595,8,0.405189620758483,0.4929166666666666,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,9,14,0.03,0.414,0.3733333333333333,8,0.7924151696606786,0.4907083333333333,0.7708333333333334,0.9786281096343897
